Participant,Grade,Age,Age.c,Timepoint,ctopp_el_raw,ctopp_nr_raw,ctopp_sm_raw,wj_wordid_raw,wj_wordattack_raw,wj_wordid_standard,Sex
64,KG_1,5.08,0,0,0,2,1,4,0,87,0
64,KG_3,5.75,0.67,1,0,8,4,7,0,87,0
65,FG_1,7.08,1.08,2,20,12,20,50,19,130,0
65,FG_3,7.67,1.67,3,19,12,18,54,22,126,0
65,KG_1,6,0,0,12,9,16,26,3,120,0
65,KG_3,6.75,0.75,1,18,14,16,47,16,134,0
66,FG_1,6.08,1,2,6,5,10,20,8,108,1
66,FG_3,6.83,1.75,3,6,5,8,25,6,101,1
66,KG_1,5.08,0,0,2,6,1,9,2,119,1
66,KG_3,5.83,0.75,1,3,7,10,20,4,112,1
68,FG_1,6,0.75,2,5,11,8,22,5,113,1
68,FG_3,6.83,1.58,3,7,8,18,42,19,126,1
68,KG_1,5.25,0,0,2,0,3,16,2,114,1
68,KG_3,5.83,0.58,1,6,12,13,22,4,117,1
72,FG_1,7,1.17,2,15,NA,20,32,8,108,0
72,FG_3,7.5,1.67,3,17,12,19,40,14,109,0
72,KG_1,5.83,0,0,7,13,16,21,4,113,0
72,KG_3,6.67,0.84,1,13,14,20,30,5,111,0
73,FG_1,7.17,1,2,8,8,16,34,10,108,1
73,FG_3,NA,1.66,3,NA,NA,NA,NA,NA,NA,1
73,KG_1,6.17,0,0,2,3,4,13,3,91,1
73,KG_3,6.67,0.5,1,4,NA,10,18,3,93,1
74,FG_1,6,1.08,2,6,10,18,28,6,123,1
74,FG_3,6.75,1.83,3,8,8,18,33,8,115,1
74,KG_1,4.92,0,0,2,2,10,15,2,118,1
74,KG_3,5.58,0.66,1,7,12,15,25,4,127,1
75,FG_1,6.83,1,2,12,10,19,32,13,110,0
75,FG_3,7.67,1.84,3,16,8,20,54,29,126,0
75,KG_1,5.83,0,0,3,11,0,15,2,103,0
75,KG_3,6.58,0.75,1,7,9,18,27,5,108,0
77,FG_1,6.83,1,2,4,5,10,16,3,83,1
77,FG_3,7.58,1.75,3,6,5,6,26,3,87,1
77,KG_1,5.83,0,0,0,3,5,11,2,94,1
77,KG_3,6.67,0.84,1,7,2,10,12,2,82,1
78,FG_1,7,0.92,2,6,3,15,23,6,92,0
78,FG_3,7.75,1.67,3,7,7,17,33,6,95,0
78,KG_1,6.08,0,0,4,4,9,16,3,101,0
78,KG_3,6.75,0.67,1,3,2,9,23,4,98,0
79,FG_1,6.92,1,2,18,8,19,36,20,116,0
79,FG_3,7.58,1.66,3,17,8,18,50,21,122,0
79,KG_1,5.92,0,0,7,10,13,16,5,103,0
79,KG_3,6.58,0.66,1,16,8,18,38,11,124,0
80,FG_1,6.92,1.17,2,8,4,15,26,7,99,0
80,FG_3,7.42,1.67,3,7,NA,16,34,10,103,0
80,KG_1,5.75,0,0,0,3,7,15,2,105,0
80,KG_3,6.58,0.83,1,5,7,17,24,3,103,0
81,FG_1,NA,1.08,2,NA,NA,NA,NA,NA,NA,1
81,FG_3,7.58,1.83,3,17,10,18,43,9,113,1
81,KG_1,5.75,0,0,4,8,7,15,3,105,1
81,KG_3,6.5,0.75,1,8,3,13,28,7,113,1
82,FG_1,6.92,1,2,6,11,18,41,13,121,1
82,FG_3,7.58,1.66,3,7,12,18,42,20,112,1
82,KG_1,5.92,0,0,2,3,14,20,3,110,1
82,KG_3,6.67,0.75,1,7,13,16,41,16,119,1
83,FG_1,6.17,1.09,2,3,8,9,16,6,99,1
83,FG_3,6.75,1.67,3,6,7,10,29,10,107,1
83,KG_1,5.08,0,0,0,5,5,6,0,93,1
83,KG_3,5.83,0.75,1,2,7,5,9,1,92,1
84,FG_1,7.08,1.08,2,8,9,19,24,7,94,0
84,FG_3,7.75,1.75,3,13,7,19,37,7,101,0
84,KG_1,6,0,0,6,9,4,15,4,100,0
84,KG_3,6.67,0.67,1,7,10,17,21,3,97,0
85,FG_1,6.67,0.92,2,4,3,6,13,4,80,0
85,FG_3,7.33,1.58,3,8,5,17,29,9,95,0
85,KG_1,5.75,0,0,1,3,8,13,2,99,0
85,KG_3,6.5,0.75,1,7,6,16,16,3,93,0
87,FG_1,7,0.92,2,6,10,19,22,3,93,0
87,FG_3,7.58,1.5,3,4,10,15,27,9,87,0
87,KG_1,6.08,0,0,3,11,9,15,3,99,0
87,KG_3,6.67,0.59,1,6,9,18,21,6,97,0
88,FG_1,6.83,0.91,2,6,5,15,24,7,98,0
88,FG_3,7.5,1.58,3,15,6,20,39,12,109,0
88,KG_1,5.92,0,0,2,6,7,16,3,103,0
88,KG_3,NA,0.66,1,NA,NA,NA,NA,NA,NA,0
89,FG_1,6.33,1,2,6,2,15,25,13,111,0
89,FG_3,6.92,1.59,3,8,10,17,30,6,107,0
89,KG_1,5.33,0,0,3,9,10,13,2,106,0
89,KG_3,5.58,0.25,1,7,11,15,13,2,103,0
92,FG_1,7,1.08,2,8,12,18,40,8,118,0
92,FG_3,7.58,1.66,3,15,14,17,52,22,125,0
92,KG_1,5.92,0,0,5,12,18,17,3,104,0
92,KG_3,6.58,0.66,1,9,12,15,35,5,119,0
100,FG_1,7.17,1.17,2,8,10,18,27,6,97,0
100,FG_3,7.83,1.83,3,8,11,18,39,10,103,0
100,KG_1,6,0,0,3,3,12,16,3,101,0
100,KG_3,6.75,0.75,1,6,NA,19,23,6,100,0
102,FG_1,7,0.92,2,14,12,19,29,8,102,0
102,FG_3,7.67,1.59,3,18,9,18,37,15,101,0
102,KG_1,6.08,0,0,6,8,17,20,9,107,0
102,KG_3,NA,0.59,1,NA,NA,NA,NA,NA,NA,0
103,FG_1,6.75,1,2,8,9,19,37,11,119,1
103,FG_3,7.42,1.67,3,18,9,20,46,19,119,1
103,KG_1,5.75,0,0,4,8,12,31,13,113,1
